origin,destination,distance_km,ridership
AG14: Pandan Jaya,KJ10: KLCC,4.298706198474032,9279
AG14: Pandan Jaya,KJ11: Kampung Baru,5.01022505653014,1094
AG14: Pandan Jaya,KJ12: Dang Wangi,5.0883600290284825,852
AG14: Pandan Jaya,KJ13: Masjid Jamek,5.176974083886546,471
AG14: Pandan Jaya,KJ14: Pasar Seni,5.052933463754111,2584
AG14: Pandan Jaya,KJ15: KL Sentral,5.889565968855226,3979
AG14: Pandan Jaya,KJ16: Bank Rakyat Bangsar,6.674451648722438,4129
AG14: Pandan Jaya,KJ17: Abdullah Hukum,7.461517976192509,7791
AG14: Pandan Jaya,KJ18: Kerinchi,8.000407027187915,2773
AG14: Pandan Jaya,KJ19: Universiti,8.774420504334886,1137
AG14: Pandan Jaya,KJ20: Taman Jaya,10.81803428069617,1330
AG14: Pandan Jaya,KJ21: Asia Jaya,11.62109445020936,1943
AG14: Pandan Jaya,KJ22: Taman Paramount,13.178568123641943,420
AG14: Pandan Jaya,KJ23: Taman Bahagia,14.183487532442301,621
AG14: Pandan Jaya,KJ24: Kelana Jaya,15.097302719750687,585
AG14: Pandan Jaya,KJ25: Lembah Subang,16.564214864264837,520
AG14: Pandan Jaya,KJ26: Ara Damansara,17.127496498518592,649
AG14: Pandan Jaya,KJ27: Cgc Glenmarie,16.95167891261629,1177
AG14: Pandan Jaya,KJ28: Subang Jaya,17.511352614042718,1306
AG14: Pandan Jaya,KJ29: SS 15,18.038652423372444,570
AG14: Pandan Jaya,KJ30: SS 18,18.392080279337584,128
AG14: Pandan Jaya,KJ31: USJ 7,18.3312474000545,605
AG14: Pandan Jaya,KJ32: Taipan,18.878945919799694,266
AG14: Pandan Jaya,KJ33: Wawasan,19.799901748163187,157
AG14: Pandan Jaya,KJ34: USJ 21,20.730847163511925,305
AG14: Pandan Jaya,KJ35: Alam Megah,22.039747295291733,331
AG14: Pandan Jaya,KJ36: Subang Alam,22.877366051738967,93
AG14: Pandan Jaya,MR10: Chow Kit,6.130954571565858,1901
AG14: Pandan Jaya,MR11: Titiwangsa,6.76864214226933,494
AG14: Pandan Jaya,SP12: Cheras,3.3868473449708163,1536
AG14: Pandan Jaya,SP13: Salak Selatan,4.799034236750738,3873
AG14: Pandan Jaya,SP14: Bandar Tun Razak,5.394925643936326,1308
AG14: Pandan Jaya,SP15: Bandar Tasik Selatan,6.770585204136614,7436
AG14: Pandan Jaya,SP16: Sungai Besi,8.13887998179542,456
AG14: Pandan Jaya,SP17: Bukit Jalil,9.551356538552794,3416
AG14: Pandan Jaya,SP18: Sri Petaling,9.578417312455455,855
AG14: Pandan Jaya,SP19: Awan Besar,10.730787354151763,2047
AG14: Pandan Jaya,SP20: Muhibbah,11.371223866805108,983
AG14: Pandan Jaya,SP21: Alam Sutera,12.433534731078595,1114
AG14: Pandan Jaya,SP22: Kinrara,13.757624291975619,1483
AG14: Pandan Jaya,SP24: IOI Puchong Jaya,15.980620907657816,1403
AG14: Pandan Jaya,SP25: Pusat Bandar Puchong,17.404738209197408,1380
AG14: Pandan Jaya,SP26: Taman Perindustrian Puchong,18.355923516202584,1116
